handle,name,tweetdate,tweet,isretweet,likes,retweets,comments,isthread
@ABsay_ek,Abhishek AB,13-Jul-2024,"On This Day last year, Yashasvi Jaiswal scored his 1st century in his debut innings...

From that day & till today; He has scored 1659 runs in 34 innings for India (Across all formats)

Only Gill (1821 runs in 48 innings) & Rohit (1962 runs in 45 innings) scored more runs than him...

Both Gill & Rohit scored their bulk of runs in ODIs where Jaiswal yet to make his debut...",N,26,3,0,N
@ABsay_ek,Abhishek AB,13-Jul-2024,"Picked up a 5 wicket haul in previous game & after hitting 36* runs in 8 balls here, he picked up 4 wickets in this game as well...",Y,10,2,1,N
@ABsay_ek,Abhishek AB,13-Jul-2024,"Wessly Madhevere & Abhishek Sharma:
Both these Cricketers born on same date in same year...

Both of them played a similar role of (Top order batter/Spinner)
And played the same number of First Class games so far with almost similar runs & Avg",N,50,5,4,N
@ABsay_ek,Abhishek AB,13-Jul-2024,"Another Indian Youngster (Nehal Wadhera) born on this same date & in same year (04-Sep-2000)...
And on the very next date(05-Sep-2000) Ravi Bishnoi born who is part of the current Indian team...",N,23,2,0,N
@ABsay_ek,Abhishek AB,13-Jul-2024,"Happy Birthday FAF!

Fafulous Amazing Fielder...",N,202,42,13,N
@ABsay_ek,Abhishek AB,13-Jul-2024,"Transitioning from a left-arm seam bowler to an exceptional SLA, Utpal Chatterjee, who turns 60 today, dominated Indian domestic cricket in the 90s...

He made his long awaited Debut in the 1995 Asia Cup at age of 30 & took 1 for 28 in 10 overs.
In next game against Pakistan, he produced figures of 2 for 35 in 8 overs.
Despite these performances, he was dropped & played only one more ODI ( seven months later), & then never got another chance...

A stalwart for Bengal, he retired at 40 with 499 First Class wickets. His retirement left a void, & the next season Bengal was on the verge of relegation.
The CAB sent an SOS to Chatterjee to play & he came back to play only 1 game...
Chatterjee took 5 wickets in that crucial game, reaching 500 First Class wickets & helping Bengal avoid relegation.

His career bowling average in First Class cricket (504 wickets at an average of 24.9 & an economy of 2.2) and 161 List A wickets (at an average of 23.5 & an economy of 3.9) are truly exceptional, given he almost single-handedly carried the Bengal attack...

Post retirement he transitioned into Coaching roles as well...",N,162,20,19,N
@ABsay_ek,Abhishek AB,13-Jul-2024,"The Drama beyond Devdas:

Despite reaching the finals 10 times, India had not won a single tournament in their last 14 Tournaments...
On this day, 22 years ago, When 22-year-old Mohammad Kaif walked into bat in his 22nd international innings; This final seemed to be slipping away  again for India, as score was 146/5 & still 180 runs required from the remaining 26 overs....

Kaif's parents, choosing to watch the movie ""Devdas"" at a local theatre instead of following the match, missed their son's match-winning performance....

When India secured victory, the entire neighborhood gathered at Kaif’s house, only to find it locked. They later learned from the theatre that Kaif had led India to victory...

This was Kaif's first year in ODIs & after playing 25 ODIs, he was averaging 57 with a strike rate of 85...
He played 100 more games after that but averaged only 28 in those games with strike rate of 69",N,265,47,15,N
@ABsay_ek,Abhishek AB,13-Jul-2024,"For Today:
In a Test match at Sharjah in 2002, the conditions were among the most challenging imaginable (just look at these images for reference)
With temperatures soaring to nearly 50°C on the field, it was like batting in an oven, as evidenced by Pakistan's performance, crumbling for 59 and 53 to make a combined total of 112 runs in both innings. 

Yet, in such extreme conditions, Matthew Hayden outscored Pakistan's combined total in his single innings alone.
He scored 119 runs when no other player from either team even reached 50 throughout the entire game...",N,114,18,4,N
@ABsay_ek,Abhishek AB,16-Nov-2023,"World Cup Memories:

During 1996 World Cup Year; My elder brother brought this cassette called "" Rest Day"" at our home...
The special thing about this cassette was not that it contains cricket songs but it also contains songs sung by Sanjay Manjrekar. (very good singer)
Not only this, the voices of Azharuddin,Sachin Tendulkar, Javagal Srinath,Anil Kumble and Vinod Kambli are also there...

Attaching Side-B of the cassette here(not many here might understand Side- A/B thing 😃)

P.S : I hope you guys enjoyed my such random posts during this World Cup...
Will try to post a few more before the finals...then we might see other trivia stuff after that (apart from World Cup)

#CricketTwitter

#CricketWorldCup2023",N,134,35,16,N
@ABsay_ek,Abhishek AB,12-Jul-2024,"60 years ago, when Fred Trueman became the first bowler to reach 300 wickets, he famously said, ""Aye, but whoever does will be bloody tired."" 
Trueman took 307 wickets, & even by reversing this number, Anderson has still managed to break it...",Y,302,29,11,N
@ABsay_ek,Abhishek AB,12-Jul-2024,"Talking about overs:  
James Anderson began his Test career with 16 overs in his very first innings…and today, he ended by bowling the same number of overs once again in his last inning...",N,46,7,2,N
@ABsay_ek,Abhishek AB,12-Jul-2024,"Since July 30, 2022, 17 pacers have taken 20 or more wickets. Among them, only 4 active pacers have bowled an average of more than 30 Overs per Test:

Matt Henry: 41.65 overs
Tim Southee: 35.04 overs
James Anderson: 30.7 overs
Josh Hazlewood: 30.01 overs

Some other prominent names:

Pat Cummins: 28.12 overs
Jasprit Bumrah: 25.36 overs
Kagiso Rabada: 25.12 overs

Now Why July 30, 2022?
That’s when James Anderson turned 40 years old...

No fast bowler in Test cricket history has bowled even 250 overs after turning 40...
James Anderson has bowled nearly 500 overs (493 overs)",N,78,17,0,N
@ABsay_ek,Abhishek AB,12-Jul-2024,"Presenting the first pace bowler of this century to achieve a 10-wicket haul on his Test debut:
Gus A-TEN-kinson",N,114,15,2,N
@ABsay_ek,Abhishek AB,12-Jul-2024,"A special Thread on one of the "" Founding Mothers"" of Women's Cricket in India...
The icon(& the hustle) you should know...

1/n (Shanta Rangaswamy)",N,408,125,19,Y
@ABsay_ek,Abhishek AB,12-Jul-2024,"Shantha Rangaswamy is a pioneer on multiple fronts:
She was India's first women's Test captain, 1st Indian woman to score an International century, led India to a 1st Test victory, hit 1st six  for India in International cricket, & 1st female cricketer to get Arjuna Award...

2/n",N,54,10,2,Y
@ABsay_ek,Abhishek AB,12-Jul-2024,"She was one of seven daughters born to a 40-year-old widow, with no Men in the family, She learned it in chilhdood itself from her mother that you have to stand up for yourselves...(read the notes images for further details)

3/n",N,55,8,1,Y
@ABsay_ek,Abhishek AB,12-Jul-2024,"To highlight: In 1971, the literacy rate for Indian women was just 21.97%
When 80% of girls weren’t even allowed to study, let alone pursue their dreams...
It’s astounding to think of someone having such a passion for a game that only few were playing at the time...

4/n",N,44,7,1,Y
@ABsay_ek,Abhishek AB,12-Jul-2024,"But playing( as we thought) wasn't fun for Women in those days;
Despite these challenges, Shantha managed to do it all without a fuss.

5/n",N,38,5,1,Y
@ABsay_ek,Abhishek AB,12-Jul-2024,"Remember In those days, when Indian women cricketers were not even paid to play Cricket (Shantha Rangaswamy never received a single rupee for playing an international game for India)

6/n",N,39,8,1,Y
